TEAM,NAME,EXPERIENCE,URL,POSITION,AGE,HT,WT,COLLEGE,SALARY,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG
Toronto Raptors,Fred VanVleet,2,http://www.espn.com/nba/player/_/id/2991230,PG,24,182.88,88.24,Wichita State,"8,653,847",8.6,3.2,2.4,15.9,6.8,2.5,2,113,16.1,2.4-5.8,0.413,1.1-2.6,0.41,0.9-1.1,0.829,2.5,0.2,0.7,0.8,6.8
Toronto Raptors,Delon Wright,3,http://www.espn.com/nba/player/_/id/3064447,PG,26,195.58,82.81,Utah,"2,536,898",8,2.9,2.9,16.49,6.6,2.3,2.3,123,17.1,2.3-5.1,0.455,0.6-1.6,0.362,1.3-1.7,0.797,2.3,0.4,0.9,1,6.6
Golden State Warriors,Jordan Bell,1,http://www.espn.com/nba/player/_/id/3064427,PF,23,205.74,101.36,Oregon,"1,378,242",4.6,3.6,1,18,4.6,3.6,1,57,14.2,2.0-3.2,0.627,0.0-0.1,0,0.5-0.8,0.682,1.8,1,0.6,0.9,4.6
Golden State Warriors,Quinn Cook,2,http://www.espn.com/nba/player/_/id/2566745,PG,25,187.96,81,Duke,"1,544,951",9.5,2.7,2.5,12.88,8.3,2.4,1.9,47,19.7,3.3-6.8,0.487,1.2-2.8,0.438,0.5-0.6,0.8,2.4,0,0.3,1,8.3
Golden State Warriors,DeMarcus Cousins,8,http://www.espn.com/nba/player/_/id/4258,C,28,210.82,122.17,Kentucky,"5,337,000",25.2,12.9,1.6,22.66,21.5,11,1.2,535,32.4,7.7-16.7,0.46,0.6-1.7,0.338,5.6-7.6,0.737,3.2,1.2,1.4,3.6,21.5
Golden State Warriors,Stephen Curry,9,http://www.espn.com/nba/player/_/id/3975,PG,30,190.5,85.97,Davidson,"37,457,154",26.4,6.1,5.1,28.32,23.1,6.8,4.4,625,34.4,8.0-16.8,0.477,3.4-7.8,0.436,3.6-4.0,0.903,6.8,0.2,1.8,3.2,23.1
Golden State Warriors,Marcus Derrickson,0,http://www.espn.com/nba/player/_/id/3934670,F,22,200.66,112.67,Georgetown,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden State Warriors,Kevin Durant,11,http://www.espn.com/nba/player/_/id/3202,SF,30,205.74,108.6,Texas,"30,000,000",26.4,5.4,6.8,26.05,27.1,3.9,7.1,771,37.1,9.2-18.8,0.49,1.9-4.8,0.384,6.9-7.8,0.882,3.9,1.1,1.2,3.1,27.1
Golden State Warriors,Jacob Evans,0,http://www.espn.com/nba/player/_/id/3934621,SG,21,198.12,95.02,Cincinnati,"1,644,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden State Warriors,Draymond Green,6,http://www.espn.com/nba/player/_/id/6589,PF,28,200.66,104.07,Michigan State,"17,469,565",11,7.6,1.3,16.1,9.3,6.9,1.1,467,27.7,3.3-7.6,0.438,0.9-2.9,0.327,1.7-2.3,0.707,4.6,1.1,1.4,2,9.3
Golden State Warriors,Danuel House Jr.,2,http://www.espn.com/nba/player/_/id/2991155,SF,25,200.66,93.67,Texas A&M,Not signed,6.6,1.1,3.3,12.44,6.3,1,3.2,24,16.8,2.3-5.4,0.434,0.6-2.4,0.259,1.0-1.3,0.806,1,0.3,0.3,0.5,6.3
Golden State Warriors,Andre Iguodala,14,http://www.espn.com/nba/player/_/id/2386,SG,34,198.12,97.29,Arizona,"16,000,000",6,3.3,3.8,11.22,12.6,4.4,5.2,1040,34.1,4.5-9.7,0.465,0.9-2.7,0.333,2.6-3.7,0.713,4.4,0.5,1.5,2,12.6
Golden State Warriors,Jonas Jerebko,8,http://www.espn.com/nba/player/_/id/3998,PF,31,208.28,104.52,-,"1,512,601",5.8,3.3,0.2,13.25,6.2,4,0.2,562,18,2.3-5.1,0.457,0.6-1.6,0.363,0.9-1.2,0.766,0.8,0.2,0.5,0.7,6.2
